Particulars of the Claim,Category
"An injunction in pursuant to section 187B of the Town and Country planning restraining the defendants carrying out any further works in respect of joy Lane, Newcastle without the express grant of planning permission. The Claimant seeks final relief remedying the breaches of planning control.",Planning
The Claimant was at all relevant times employed by the second defendant as a cleaner. At the Defendants premises known as the Swinging Tree in Newcastle the Claimant was working and whilst working she attempted to unlock the stopper on a double door and suddenly and without warning the door feel off its hinges and the Claimant sustained Personal Injury.,Personal Injury
The Claimant supplied goods and services to the Defendant for the sum of £1899.95. The Defendant received the goods and paid only £5400.00. The Claimants solicitors obtained an agreement for a settlement with the defendant. The Defendant has failed to meet that agreement. The Claimant therefore claims the outstanding sum of £9541.60,Commercial
"The claim concerns various breaches of contract, statutory duty, data protection laws, tortious breaches and fraudulent misrepresentations arising from removal and storage services provided by the Defendants. The Claimant has sustained substantial loss and damage and seeks to recover the amount from the Defendant.",Commercial
The Claimant was at work at the Defendants hotel as a domestic worker. During her working day she attempted to close a door and received a splinter in her arm. This splinter travelled in her blood stream causing her to undergo surgery. The Claimant seeks damages for Personal Injury due to neglect of the property.,Personal Injury
"The Claimant seeks damages for compensation for Personal Injury and financial loss suffered by the Claimant and arising during the course of his military service with the Department of defence, with a diagnosis of NFCI. Injury was caused by the negligence and breach of statutory duty by the defendants as an employer.",Personal Injury
"The Claimant sent invoiced dated 22/11/2018 for £4,266.00. The Claimant had requested the payment of this amount on several occasions. The Defendant has not provided any reason for the failure to pay the invoice. When the Defendant continued to fail to communicate with the Claimant and claim was made to recover the debt. This was done on the 14/1/2019 however the Defendant has failed to pay for services completed. The sum claimed is £4,266.00",Commercial
"Windows were supplied by the Defendant and installed on the 19th August 2014 for the sum of £10,240. A deposit of £2500was paid in cash and a receipt given. Following installation there has been numerous issues with the quality and installation of the glass units and a number of glass units were replaced. These unit failed and the company continued to request payment. Due to the poor quality the Claimant required to instruct another company to replace the windows, so they were fit for purpose. Claimant seeks recovery of his deposit of £2500.",Commercial
"At all material times, the Claimant was employed by the Defendant as a packer at the Defendants company in Northampton. On the 13th February 2015 whilst employed in the course of her employment became involved in an accident. The Claimant noticed one of the plastic machines was defective as the trays had come out split and broken and that the used plastic was piling up. The incident was reported to a mechanic who made some effort to resolve the problem. As the Claimant attempted to pull the used plastic from the grinder the grinder fell and cut off her fingers. The Claimant suffered injury, loss and damage.",Personal Injury
"The Claimant is seeking unpaid legal fees for £35,200.45 plus interest in the sum of £7,652 from the Defendant for service supplied during the period of 2014 to 2017.",Commercial
"The defendant agreed to invest in a property and sell it sharing the profit by 65% and 35% to the Defendants favour. The Defendant made false allegations of fraud, forgery and theft against the Claimant. The Claimant was arrested and went to trial. The first trial stopped as the Defendant withheld evidence from both the prosecution and defence. The second trial commenced and evidence which had been mislaid by the police was produced and the Claimant was found not guilty by Jury. The Defendant rent and then sold the property keeping all profit from the sale. The Claimant seeks the sum of £450,000 from the sale and rent of the property.",Commercial
"There are a series of claims that are interlinked. The Claimant is seeking refunds for service and products supplied from 5 defendants. The Claimant is seeking in total the sum of £170,000 for alleged defective product and poor workmanship.",Commercial
The claimant is seeking cost for poor workmanship on the supply and installation of a mirrored horse arena. The Claimant is alleging that the product was inadequately secured and had broken within 2 days. Sum claim £8.287.,Commercial
"Within clause 2 of the award it advises that the surveyors have met on site and agreed the damage yet there is no list of damages within the award that has been agreed and there are no photographs to show the said damage. The only list within the award is an appended document from Rose Roofing and Building Services Limited, a company that has never submitted any accounts and that was only incorporated on the 4th February 2019. The list included within the quotation is vague in areas and includes items unrelated to the notifiable works, with the quotation being extremely excessive in quantum for the scope of works and it is suspected it is over-inflated. Afterward was served, the building owner’s surveyor stated to the building owner that he believed the quote was too high but he was only provided with one quotation so was left with no alternative. When it is difficult to obtain quotations, the process to be followed by appointed surveyors is straightforward; a quantity surveyor could assess the cost of any agreed works and RICS provide costing within BICS (building cost information service). To provide one quotation as sourced by the adjoining owner who has a vested interest appears far from just. Work was completed and the Claimant submitted invoice for the work completed which the Defendant has refused to pay after numerous requests",Commercial
The First and Second Claimants were engaged to be married. The Claimants were due to marry on 15th July 2020 at a venue known as Tie the knot Weddings Limited (herein after referred to as “the Wedding Venue”).,Commercial
"The Claimant was at all relevant times employed by the Defendants. The Defendant’s Premises are situated at [Address]. On 18th April 2017 whilst acting in the course of his employment, the Claimant was carrying out his duties in that he was carrying a piece of wood under his right arm and supported by his left arm. Suddenly and without warning, whilst lifting and carrying the said piece of wood the Claimant tripped and fell on steps. This caused him to sustain personal injuries, as detailed below. The operation and task was a manual handling operation to which the Manual Handling Operations Regulations 1992 applied. Further to this, the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The Claimant keeps these Particulars of Claim brief and sucking in that the Defendant admitted liability on 2nd November 2017.The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendant, their employees, or agents acting in the course of their employment. ",Commercial
"The Claimant was at all relevant times employed by the Defendants as a labourer. The Defendant’s premises are situated at Unit 22, The Chapel Site Hall, Basingstoke CM108HL (‘the premises’). On 14 September 2016 at approximately 09.30 whilst acting in the course of his employment, the Claimant was carrying out his duties in moving an electric fan when it suddenly and without warning cut the Claimant causing him to sustain personal injuries, as detailed below. The aforementioned operation was one to which the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a labourer. The Defendant’s premises are situated at Becket House, Chelsea Bird Road, Middlesex (‘the premises’). On 26 May 2016 at approximately 12.00 whilst acting in the course of his employment, the Claimant was carrying out his duties in removing a concrete pouring frame when suddenly and without warning a metal bolt fell onto the Claimant’s hand, causing him to sustain personal injuries, as detailed below. By correspondence dated 15 September 2016, the Defendant admitted liability for the index accident.The aforementioned operation was one to which the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a forklift driver. The Defendant’s Premises are situated at Top of the End, East Way Road, Canterbury (hereinafter the ‘premises.’) On 30 May 2016 at approximately 23.00, whilst acting in the course of her employment, the Claimant was carrying out his duties in re-staking a pallet when he suddenly and without warning felt pain in his back, where another fork lift run into the back of the forklift he was driving. The Claimant fell out of the forklift causing injury. The aforementioned operation was a manual handling operation to which the Manual Handling Operations Regulations 1992, and the Management of Health and Safety at Work Regulations 1999 applied. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a cleaner. The Defendant’s premises are situated at 101Melton Road, Leicester, Leicestershire, LE4 7SL (‘the premises’). On 9 September 2016 at approximately 09.30 whilst acting in the course of his employment, the Claimant was carrying out his duties in cleaning metal components using an air blow gun. Whilst doing so, the Claimant was wearing a respirator mask. Suddenly and without warning however, one of the metal pellets impacted the Claimant’s eye, causing him to sustain personal injuries, as detailed below. The aforementioned operation was one to which the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"At all material times, the Claimant was a crew member:working at the premises of the First Defendants who are of the address Light House, East way hill, park estate, Wiltshire NW11 7LT; and employed by the Second Defendants of the address 96 Grazebrook Road, Cardiff. On 31 May 2016 at approximately 13.00, whilst acting in the course of his employment, the Claimant was carrying out his duties in unloading a truck when suddenly and without warning, a colleague of the Claimant ran over the Claimant’s foot with one of the boxes they were unloading. Accordingly, the Claimant suffered personal injuries, as detailed below.The aforementioned operation was a manual handling operation to which the Manual Handling Operations Regulations 1992 applied. Further to this, the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the First and/or Second Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a sales assistant. The Defendant’s premises are situated at ASDA  Supercentre, link Lane, Carmathernshire (the ‘premises.’) On the 5 June 2016, at approximately 15.45, while acting in the course of her employment, the Claimant was attempting to move a faulty clothes rail when suddenly and without warning the rail trapped the Claimant’s trousers, causing her to fall. The Claimant sustained personal injuries where her hip was bruised and her wrist broken.  The aforementioned operation was a manual handling operation to which the Manual Handling Operations Regulations 1992 applied. Further to this, the Management of Health and Safety at Work Regulations 1999 applied to the premises. The above accident, injury loss and damage were caused or contributed to by the Defendants, their employees or agents acting in the course of their employment being in breach the aforementioned Regulations, or alternatively, such breach was negligent. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a plumber. The Defendant’s premises are situated at 114 Cromwell Road, Newport, Gwent NP26 7YS (‘the premises’).  On 28 July 2016 at approximately 13.30 whilst acting in the course of his employment, the Claimant was carrying out his duties in carrying materials for the purpose of disposing them. Whilst doing so, a rod of iron suddenly and without warning fell on the Claimant’s hand, causing him to sustain personal injuries, as detailed below. The aforementioned operation was one to which the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"At all relevant times, the Defendants were the highway authority in respect of Edgware Road, Somerset,SM26YH. On the 7 January 2016 at approximately 19.00 the Claimant was lawfully walking along the aforementioned road when the Claimant fell suddenly and without warning due to an uneven surface, namely a bump in the road. It followed that the Claimant sustained Personal Injury, as detailed below.By correspondence dated 1 March 2016, the Defendants admitted the occurrence of the index accident together with the same being caused by the Defendant’s breach of duty. The highway, and in particular the road, was in a condition which was dangerous to pedestrians, and the Claimant’s accident was caused by the Defendants’ breach of statutory duty under s.41 of the Highways Act 1980, and/or by the negligence of the Defendants, their employees or agents. Failing to maintain or repair the highway, in accordance with their statutory duty, namely s.41 of the Highway Act 1980; Causing or permitting the highway to be or to become or to remain in a dangerous and defective condition in that the surface was uneven;Causing or permitting the area of the highway to be or to become or to remain a danger and a trap to persons lawfully using the same;Failing to institute or enforce any or any adequate system of inspection and maintenance of the highway whereby the defect might have been detected and the same remedied before the Claimant’s accident; Failing to fence or guard the defect;",Personal Injury
"On or about the 29 May 2018 at approximately 14.30 the Claimant was involved in a road traffic accident.  At all material times the Claimant was lawfully proceeding along the A1083, Usk, in a vehicle with the vehicle registration number LG14 MAO.The Defendant was driving a motor vehicle at all material times with the vehicle registration number GT05 GME.At the material time, the Claimant was travelling from Abergavenny TFL Station to USK TFL Station. Suddenly and without warning, whilst the Claimant was lawfully proceeding along the aforementioned road when the Defendant pulled out from a side road. In an attempt to avoid the collision, the Claimant broke and fell off his motorcycle. It followed that the Defendant caused the Claimant damage, loss and injury. ",Personal Injury
"The Claimant was at all relevant times employed by the Defendants as a butcher. The Defendant’s premises are situated at Morrisons, Rogerstone, Gwent (‘the premises’).  On 24 January 2016 at approximately 12.00 whilst acting in the course of his employment, the Claimant was carrying out his duties in cutting meat. Whilst the Claimant was doing so with the assistance of a band saw, the saw suddenly and without warning cut the Claimant’s fingers, thereby pulling the Claimant’s arm in and causing him to sustain personal injuries, as detailed below. The index accident was caused by the fact that the protective guard on the saw was defective, and as such it failed to prevent the Claimant’s fingers from coming into contact with the saw. The aforementioned operation was one to which the Management of Health and Safety at Work Regulations 1999, and the Personal Protective Equipment at Work Regulations 1992 applied to the premises. The accident was caused or contributed to by the negligence and/or breach of statutory duty of the Defendants, their employees, or agents acting in the course of their employment. ",Personal Injury
"On or about 19 December 2017 at approximately 18.25 the Claimant was involved in a road traffic accident.  At all material times the Claimant was lawfully proceeding along Sleaford Road, Warrington, in a vehicle with the vehicle registration number UW55 SYE.The First Defendant was driving a motor vehicle at all material times with the vehicle registration number FX02 TWA.Suddenly and without warning, the Claimant was lawfully stationary on the aforementioned road when the First Defendant reversed into the Claimant’s correctly positioned vehicle. It followed that the First Defendant caused the Claimant damage, loss and injury.  At all relevant times, the Second Defendant was the statutory insurer of the First Defendant. Colliding with the Claimant.Failing to keep any proper look out. Failing to keep a safe distance. Failing to pay attention. Driving too fast in the circumstances. Failing to warn the Claimant of the danger. Failing to apply his brakes in time or at all. Failing to stop immediately after the impact of the index accident. ",Personal Injury
"At all material times the Claimant was lawfully proceeding along Sleaford Road, Temby, in a vehicle with the vehicle registration number VX55 OST.The First Defendant was driving a motor vehicle at all material times with the vehicle registration number FX010 YNT. Suddenly and without warning, the Claimant was lawfully stationary on the aforementioned road when the First Defendant reversed into the Claimant’s correctly positioned vehicle. It followed that the First Defendant caused the Claimant damage, loss and injury. At all relevant times, the Second Defendant was the statutory insurer of the First Defendant. Colliding with the Claimant.Failing to keep any proper look out.Failing to keep a safe distance.Failing to pay attention. Driving too fast in the circumstances.Failing to warn the Claimant of the danger.Failing to apply his brakes in time or at all. Failing to stop immediately after the impact of the index accident. Failing to stop, to slow down, to swerve, or to manage the vehicle so as to avoid the incident. Failing to reverse safely.Failing to observe or heed in time, adequately or at all, the Claimant, who was lawfully stationary.. ",Personal Injury
"At all material times:The Claimant lived at the premises known as 127 Roseville Road, Birmingham. BR23 4YU; The Defendant was the designed and manufacturer of, amongst other things, white goods. The Defendant is based as the address known as Whirlwind UK Appliances Limited, Hanley Way, Brighton. The Claimant purchased a tumble dryer (‘the appliance’) off the Defendant on or about 10th December 2016. Having done so, the Claimant experienced electrical faults with the appliance. The Claimant was advised by employees or agents of the Defendant to ‘replace the extension lead’ which powered the appliance. In reliance upon that advice, the Claimant replaced the extension lead. Notwithstanding repeated complaints by the Claimant as to the electrical and/or mechanical defects with the appliance, the Defendant ignored the Claimant. On or about the 11 February 2017, at 19.00, the Claimant was at his home address when suddenly and without warning, the extension lead together with the dryer, caught fire. The fire spread to the washing machine. In an attempt to prevent the fire from spreading, the Claimant sustained personal injuries, as detailed below.Failing to advise, adequately or at all, as to whether the Claimant should have an extension lead installed;Advising the Claimant that he should replace the extension lead;Having relied upon the statement, failing to make the Claimant aware of the correct position;Failing to ensure that the Claimant was operating the appliance safely; Failing to take heed of the Claimant’s concerns as to the electrical and/or mechanical defects with the appliance; Failing to warn the Claimant of the risk of fire;",Commercial
"The Claimant was at all relevant times employed by the first defendants as a driver, whose registered address is 49. Bell Brook Way, Upton, Essex. Further, whilst employed by the First defendant, the Claimant was at all relevant times posted to work at the premises of the second defendant address of Top Boxes, Millbrook Hill, Upton, Essex. On the 30th June 2016 at approximately 09.45 whilst acting in the course of his employment, the Claimant was carrying out his duties in folding up empty boxes after delivery. Whilst doing so, a shelf inside one of the boxes became loose having been improperly secured by one of the second defendant's employees. Accordingly, the Claimants thumb became trapped causing him to sustain Personal Injury.",Personal Injury
"On the 29th May 2016 at or around 9.30am the Claimant was walking through Terminal 2 of Gatwick airport (the accident location). At all times material the Claimant was acting within the scope of his employment as a cleaner at the airport. The Defendant was in control of and/or was the occupier of the accident location. The Claimant was therefore a visitor of the defendant. The location included commercial cages which were present and under the control of the Defendant. At all the material time the claimant was wearing safety shoes. The Defendant never sought to keep the cages in the nearby storage facility or seek more storage space from the airport. As the Claimant was walking with another he turned hi head to speak to the other person and whilst doing so, his right foot came into contact with the corner of a cage which was protruding over the walkway, such that he tripped over and fell on to the ground causing injury to his 3 toes on his right foot and fractured his right little toe.",Personal Injury
"The Defendant is and was at all material times a firm of solicitors practicing at 28.Marshfield brook, Warwickshire, WA41 2HC. The Claimant is and was at all material times the freehold owner of 28, Horses Lane, Warwickshire. The property shares a boundary with 95 Roses brook, Warwickshire of which Manifold Holdings Ltd was the freehold owners at the material times. The Defendant carried out work from the Claimants and the Claimant dispute the work completed and the cost of the work completed. The Claimant also states that the Defendant was professionally negligent in that he failed to carry out the instructions of the Claimant. The Claimant is seeking damages of £158,000",Commercial
"The Claimant was at all relevant times employed by the Defendants as a team leader at their premises known as Carewell Support centre 32. Moorlands road, Newcastle (hereinafter referred to as the premises’)On the 15th May 2016 at approximately 9am in the course of his employment, the Claimant was carrying out his duties when he entered the staff room and suddenly and without warning slipped on water. This caused the Claimant to fall and hit the left side of his head on a table and chair.As it later transpired the water had originated from the dishwasher. The Claimant suffered soft tissue injuries to his head. Further the Claimant later sustained tinnitus, vertigo and pituitary gland damage",Personal Injury
"The Defendants repeat the content of the defence. It is agreed the Claimants were subcontracted to provide goods, material and service between August 2018 and December 2018 at Mullberry instore, Holly Road, East Sussex. The Claimants having been provided with contractual works to the sum of £140,000. Due to poor workmanship, inflated and incorrect invoices, poor material, skill and attention to detail the defendants have been forced to rectify the same",Commercial
The Claimant is contesting the will of her late father following the changing of the will by her brother some 2 months prior to the late fathers death. The Will removes all legal rights to the Claimant to the farm and the surrounding land. The Claimant contested the contents of the new will as the Claimant can prove that the late father had reduced mental capacity and was coerced into signing the new will without independent legal advice.,Will and probate
The Claimants are a group of residents that have grouped together to contest a planning application for an incinerator to be located on a local farm. The Claimants are contesting that the necessary regulations and processes have not been adhered prior to planning being granted. The lack of the following of the procedures it is the Claimants claim would have exposed that the planning should not be granted as it would be in breach of article 87 Planning and County Act 1983.,Planning
The Claimant is seeking to prevent the planning of a 40 foot swimming pool in the defendant garden which would require the destruction of a 200 year oak tree located in the Claimants garden. The destruction of the oak which is protected would result from the damaging or destruction of the roots of the trees that are under the ground of the Defendants land. The damaging of the roots will result in the tree dying causing financial loss to the Claimant who would be duty bound to have the tree removed.,Planning
"The Claimant is seeking rent owed from the Defendant for a property and land rented to the Defendant for the storage of cars. The Claimant alleges that the Defendant firstly sold her insurance which he was not entitled to do under the Financial Service Authority and also whilst her property was in storage it was damaged. The Claimant also alleges that the Defendant increased the storage costs in breach of the contract that was signed.The Claimant is seeking £36,000 for damage to property and mis sold insurance and increased storage cost.",Commercial
"In march 2015 the Claimant carried out work for an artist where we printed pictures for a gallery. The Defendant received the prints which were valued at £18,000 but the quality of the prints were not to the standard required for the gallery. The artist returns the prints explaining the issue with the quality of the product. The Claimant disputes the  claim stating that the work was carried out to the standard requested by the Defendant. The Claimant is seeking £18,000 plus interest at 8% annually totalling £22,000.",Commercial
"The Claimant has issued a claim against the defendant for the sum of  £7000 to cover the money they paid their builder who purchased roof tiles. The builder stated the whole roof needs replacing. The Defendant disagreed with this and approx 90 tiles were replaced.  However the Defendant  offered them 200 to cover any breakages that might occur when they replace the tiles.  The Claimant is claiming for material, services and equipment supplied together with interest at 8%",Commercial
"The Claimant has a property  the ‘house’ to him under the terms of the Claimants aunts will. Due to the property being purchased decades ago, the garden land was held under a different title number to the actual house itself. Upon discovering this, the Defendant, who is also one of the residuary beneficiaries, interprets the will in  a way that the gift to the Claimant was of the ‘house’ on its own and not the garden. This meant that the house would pass to Claimant, but the garden would form part of the residue of the estate, ultimately benefiting the Defendant. The Claimant interpretation of the will is that the garden passed to him as part of the gift of the house. The house, he said, included the garden. He argued that his aunt had not specifically mentioned the garden in the will as she considered it to be part of her house and it would not have occurred to her that anyone would seek to separate the two. The Claimant seeks a judgment on the issue of the gardens to resolve this matter and allow the estate to be administered",Will and probate
"The two named executors(Defendants) were employees of the Will writing company that drew up the Will.The Claimant is applying to the court to have the executors passed over, and a grant was made in the favour of the Claimant.The Defendants (Executors) are applying for the application to be struck out on the grounds that for a defendant (executor) to be removed they must have disentitled themselves in some way or another, which they had not. The Defendant claims that  the application was an abuse of power as it is funded by a rival firm, and therefore had an ulterior motive.The Claimant is seeking a order for the removal of the Defendants from the will.. ",Will and probate
"The Claimants are three siblings who had been excluded from their father’s Will. The family relationship between the children and their father had been strained and the deceased had been abusive to them and their mother when they were growing up. Strangely, although there was contact between the father and the Claimants (one of whom lived abroad) after their mother’s death, they only discovered his death when one of them had visited their mother’s grave and found that their father was due to be buried the next day. The Claimants discovered that although the deceased had left a Will, this did not mention the Claimants and the Solicitors who held the Will wouldn’t provide details of the Will because they didn’t benefit from the Will. The father had previously made a gift of a car to one of the Claimants and indicated that they would all benefit from his Will. The Claimants asked our Solicitors to try to obtain a copy of the Will and investigate the circumstances surrounding its making and if there was any reason for their exclusion. Our Solicitors also advised that they could consider a claim under the Inheritance (Provision for Family and Dependents) Act 1975 (the Act) on the basis that as adult children, the Will didn’t make reasonable provision for them and to make a claim against the Estate on that basis. All were adult children, and although one did have health and disability issues, they all owned their own homes and had some income, although none could be considered wealthy.The Claimants are requesting that the court make an order for the Will to be released for investigation.",Will and probate
"The Claimants mother disapproved of the claimant's choice of boyfriend. This led to mother and daughter being estranged for 26 years. The mother died in 2004, leaving her £500,000 estate in a Will to a selection of animal charities, and she made clear in an attached letter that she did not wish her daughter to inherit anything from her estate. The Claimants, whose income was mostly comprised of state benefits and in rented accommodation, made a claim under the Inheritance (Provision for Family and Dependants) Act 1975 on the premise that the Will did not provide her with “reasonable provision” and that the deceased had no known links with any of the charity beneficiaries. The Claimants wishes to claim under the inheritance Act 1975",Will and probate
An estate in Cornwall worth in excess of £8million.The matter centred on a homemade Will made by the deceased who wished to leave the bulk of his estate to establish a military band in a park near the place of his birth.The Claimants are also a dispute about a partnership property in relation to a family business. The Claimant are seeking to have the will revoked and contest the Will as no family members benefits from the estate which they had worked at and for since 1976. The Claimants can show financial investment in the business and were aware that the Will previously was divided in equal shares  to the 5 brothers. The Claimants are seeking an injunction to prevent the sale of the property and to make judgment of the case.,Will and probate
"The Claimant is making a claim made under the Inheritance (Provision for Family and Dependants) Act 1975 by a spouse for further provision from the husband's estate as the husband had died intestate because his Will was automatically revoked upon their marriage the estate is valued at approximately £2 million. The  defendants were there client's step-children. The Claimant is seeking provision under the Act as the marriage was still valid as the diviorce absolute had not been granted, due to unfinished financial settlements",Will and probate
"It is alleged by the Claimant that a  former attorney and executor had misappropriated 14.2millions of pounds and valuable works of art from a Swiss Estate. Following extensive investigations into the misappropriations and seeking disclosure from Swiss and UK banks, auction houses and a number of third parties, the Claimant provides evidence of this misappropriation. Under concurrent jurisdiction the Claimant is seeking damages within the UK courts against the defendant for 15.8 million in damages",Will and probate
